tree,           tree depth,          RMSE,                   Runtime,
10,             5,                   9.834134481993766,      1055.745,
20,             5,                   9.711238297929544,      1221.446,
30,             5,                   9.99024129897492,       1368.549,
40,		5,		     9.540696562059567,	     1526.171,
50,             5,                   9.415289475116825,      1782.775,
60,		5,		     9.89015644199521,	     2050.003,
70,		5,		     9.83611313192356, 	     2246.818,
80,		5,		     9.531509857960653,      2404.14,
90,		5,		     9.990717382069876,	     2562.598,
100,            5,                   9.514881520606263,      2957.801,
